1|True|Mediated for 15 minutes today. Feeling calm.|static/img/test.jpeg|2022-06-09
1|True|Mediated for 10 minutes today. Feeling uneasy.|static/img/test.jpeg|2022-06-10
1|True|Mediated for 20 minutes today. Feeling peaceful.|static/img/test.jpeg|2022-06-11
2|True|Went jogging for 30 minutes today. Very tiring.|static/img/test.jpeg|2022-06-02
2|True|Did yoga for 10 minutes today. Can try for 20 min tmr.|static/img/test.jpeg|2022-06-03
3|True|Read 15 pages of 1984.|static/img/test.jpeg|2022-05-01
3|True|Read 5 pages of 1984.|static/img/test.jpeg|2022-05-05
3|True|Read 23 pages of 1984.|static/img/test.jpeg|2022-05-10
3|True|Read a whooping 100 pages of 1984.|static/img/test.jpeg|2022-05-13
3|True|Read 20 pages of 1984.|static/img/test.jpeg|2022-05-16
